Years;Losas en construccion;Losa deportivas construidas;Losas obsoletas;Mantenimiento Losas;Gastos Totales Losas;Tasa de Losas en construccion;Tasa Losas Obsoletas
2022;1;90;0;1080;2280;0.02;0.009
2023;1;91;0;1092;2292;0.02;0.009
2024;1;92;0;1104;2304;0.02;0.009
2025;1;93;0;1116;2316;0.02;0.009
2026;1;94;0;1128;2328;0.02;0.009
2027;1;95;0;1140;2340;0.02;0.009
2028;1;96;0;1152;2352;0.02;0.009
2029;1;97;0;1164;2364;0.02;0.009
2030;1;98;0;1176;2376;0.02;0.009
2031;1;99;0;1188;2388;0.02;0.009
2032;1;100;0;1200;3600;0.02;0.009
